SPCD,COMMON_NAME,GENUS,SPECIES,SPECIES_SYMBOL,SCI_SPEICES,TYPE
220,BALDCYPRESS SPP.,TAXODIUM,SPP.,TAXOD,TAXODIUM SPP.,EVERGREEN
221,BALDCYPRESS,TAXODIUM,DISTICHUM,TADI2,TAXODIUM DISTICHUM,EVERGREEN
222,PONDCYPRESS,TAXODIUM,ASCENDENS,TAAS,TAXODIUM ASCENDENS,EVERGREEN
223,MONTEZUMA BALDCYPRESS,TAXODIUM,MUCRONATUM,TAMU,TAXODIUM MUCRONATUM,EVERGREEN
230,YEW SPP.,TAXUS,SPP.,TAXUS,TAXUS SPP.,EVERGREEN
231,PACIFIC YEW,TAXUS,BREVIFOLIA,TABR2,TAXUS BREVIFOLIA,EVERGREEN
232,FLORIDA YEW,TAXUS,FLORIDANA,TAFL,TAXUS FLORIDANA,EVERGREEN
240,THUJA SPP.,THUJA,SPP.,THUJA,THUJA SPP.,EVERGREEN
241,NORTHERN WHITE-CEDAR,THUJA,OCCIDENTALIS,THOC2,THUJA OCCIDENTALIS,EVERGREEN
242,WESTERN REDCEDAR,THUJA,PLICATA,THPL,THUJA PLICATA,EVERGREEN
250,TORREYA (NUTMEG) SPP.,TORREYA,SPP.,TORRE,TORREYA SPP.,EVERGREEN
251,CALIFORNIA TORREYA (NUTMEG),TORREYA,CALIFORNICA,TOCA,TORREYA CALIFORNICA,EVERGREEN
252,FLORIDA TORREYA (NUTMEG),TORREYA,TAXIFOLIA,TOTA,TORREYA TAXIFOLIA,EVERGREEN
260,HEMLOCK SPP.,TSUGA,SPP.,TSUGA,TSUGA SPP.,EVERGREEN
261,EASTERN HEMLOCK,TSUGA,CANADENSIS,TSCA,TSUGA CANADENSIS,EVERGREEN
262,CAROLINA HEMLOCK,TSUGA,CAROLINIANA,TSCA2,TSUGA CAROLINIANA,EVERGREEN
263,WESTERN HEMLOCK,TSUGA,HETEROPHYLLA,TSHE,TSUGA HETEROPHYLLA,EVERGREEN
264,MOUNTAIN HEMLOCK,TSUGA,MERTENSIANA,TSME,TSUGA MERTENSIANA,EVERGREEN
299,UNKNOWN DEAD CONIFER,TREE,EVERGREEN,2TE,TREE EVERGREEN,EVERGREEN
300,ACACIA SPP.,ACACIA,SPP.,ACACI,ACACIA SPP.,EVERGREEN
303,SWEET ACACIA,ACACIA,FARNESIANA,ACFA,ACACIA FARNESIANA,DECIDUOUS
304,CATCLAW ACACIA,ACACIA,GREGGII,ACGR,ACACIA GREGGII,DECIDUOUS
310,MAPLE SPP.,ACER,SPP.,ACER,ACER SPP.,DECIDUOUS
311,FLORIDA MAPLE,ACER,BARBATUM,ACBA3,ACER BARBATUM,DECIDUOUS
312,BIGLEAF MAPLE,ACER,MACROPHYLLUM,ACMA3,ACER MACROPHYLLUM,DECIDUOUS
