"SpeciesPLANTS","SPCD","GENUS","FIA_TYPE","LEAF_RETEN","R3_SHADE_TOL","R3_DIA_MEAS"
"PIMU",120,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PINI",136,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PINUS",100,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIPA2",121,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIPI3",887,"PISCIDIA","DECIDUOUS","DECIDUOUS",NA,NA
"PIPO",122,"PINUS","EVERGREEN","EVERGREEN","INT","DBH"
"PIPU",96,"PICEA","EVERGREEN","EVERGREEN","TOL","DBH"
"PIPU5",123,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIQU",138,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIRA2",124,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIRE",125,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIRE5",141,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIRI",126,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIRU",97,"PICEA","EVERGREEN","EVERGREEN",NA,NA
"PISA2",127,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PISE",128,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PISI",98,"PICEA","EVERGREEN","EVERGREEN",NA,NA
"PIST",129,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIST3",114,"PINUS","EVERGREEN","EVERGREEN","INT","DBH"
"PISY",130,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PITA",131,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PITO",139,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIVI2",132,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIWA",137,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PLAQ",722,"PLANERA","DECIDUOUS","DECIDUOUS",NA,NA
"PLATA",729,"PLATANUS","DECIDUOUS","DECIDUOUS",NA,NA
"PLOC",731,"PLATANUS","DECIDUOUS","DECIDUOUS",NA,NA
"PLRA",730,"PLATANUS","DECIDUOUS","DECIDUOUS",NA,NA
"PLWR2",732,"PLATANUS","DECIDUOUS","DECIDUOUS","INT","DRC"
"POAL7",752,"POPULUS","DECIDUOUS","DECIDUOUS",NA,NA
"POAN3",749,"POPULUS","DECIDUOUS","DECIDUOUS","INT","DBH"
"POBA2",741,"POPULUS","DECIDUOUS","DECIDUOUS",NA,NA
"POBAT",747,"POPULUS","DECIDUOUS","DECIDUOUS",NA,NA
"PODE3",742,"POPULUS","DECIDUOUS","DECIDUOUS","INT","DBH"
"PODEM",745,"POPULUS","DECIDUOUS","DECIDUOUS",NA,NA
"POFR2",748,"POPULUS","DECIDUOUS","DECIDUOUS","INT","DBH"
"POGR4",743,"POPULUS","DECIDUOUS","DECIDUOUS",NA,NA
"POHE4",744,"POPULUS","DECIDUOUS","DECIDUOUS",NA,NA
"PONI",753,"POPULUS","DECIDUOUS","DECIDUOUS",NA,NA
"POPUL",740,"POPULUS","DECIDUOUS","DECIDUOUS",NA,NA
"POTR5",746,"POPULUS","DECIDUOUS","DECIDUOUS","INT","DBH"
"PRAL5",769,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PRAM",766,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PRAN3",770,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PRAV",771,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PRCE",772,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PRDO",773,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PREM",768,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PRGL2",756,"PROSOPIS","DECIDUOUS","DECIDUOUS","INT","DRC"
"PRMA",774,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PRNI",765,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PROSO",755,"PROSOPIS","DECIDUOUS","DECIDUOUS",NA,NA
"PRPE2",761,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PRPE3",764,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PRPU",758,"PROSOPIS","DECIDUOUS","DECIDUOUS",NA,NA
"PRSE2",762,"PRUNUS","DECIDUOUS","DECIDUOUS","INT","DRC"
"PRUNU",760,"PRUNUS","DECIDUOUS","DECIDUOUS",NA,NA
"PRVE",757,"PROSOPIS","DECIDUOUS","DECIDUOUS","INT","DRC"
"PRVI",763,"PRUNUS","DECIDUOUS","DECIDUOUS","INT","DRC"
"PSEUD7",200,"PSEUDOTSUGA","EVERGREEN","EVERGREEN",NA,NA
"PSMA",201,"PSEUDOTSUGA","EVERGREEN","EVERGREEN",NA,NA
"PSME",202,"PSEUDOTSUGA","EVERGREEN","EVERGREEN","TOL","DBH"
"QUAG",801,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUAL",802,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUAR",803,"QUERCUS","DECIDUOUS","EVERGREEN","INT","DRC"
"QUBI",804,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
